Name,Phone,Category,Rating,Reviews,Website,Address,SourceURL
Smile Hub Clinics,,,,,,4.8,https://www.google.com/maps/place/Smile+Hub+Clinics/data=!4m7!3m6!1s0x391901f990d9349d:0xdc275d126024079c!8m2!3d31.462573!4d74.2746528!16s%2Fg%2F11kvq1skk5!19sChIJnTTZkPkBGTkRnAckYBJdJ9w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Teeth and Smile Dental Clinic,,,,,,4.9,https://www.google.com/maps/place/Teeth+and+Smile+Dental+Clinic/data=!4m7!3m6!1s0x3919051fd421492f:0xcb0e9062d0550ee4!8m2!3d31.5104717!4d74.3523501!16s%2Fg%2F11trrldflz!19sChIJL0kh1B8FGTkR5A5V0GKQDss?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
SmileOn Dental,,,,,,4.8,https://www.google.com/maps/place/SmileOn+Dental/data=!4m7!3m6!1s0x391901b0bfa8bf01:0xcefa46ebd8c4f805!8m2!3d31.4413377!4d74.2677193!16s%2Fg%2F11fsk08z5d!19sChIJAb-ov7ABGTkRBfjE2OtG-s4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Cantt Dental Care,,,,,,5.0,https://www.google.com/maps/place/Cantt+Dental+Care/data=!4m7!3m6!1s0x39190509c0a7204b:0x88cf62d0f9724e02!8m2!3d31.5496283!4d74.3850536!16s%2Fg%2F11h_42_wtk!19sChIJSyCnwAkFGTkRAk5y-dBiz4g?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Aesthetics,,,,,,4.6,https://www.google.com/maps/place/Dental+Aesthetics/data=!4m7!3m6!1s0x39190673f9538229:0x9a3c0cbac6f89782!8m2!3d31.471864!4d74.3756495!16s%2Fg%2F11bzs4pdxw!19sChIJKYJT-XMGGTkRgpf4xroMPJo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Ghauri Dental Center,,,,,,4.8,https://www.google.com/maps/place/Ghauri+Dental+Center/data=!4m7!3m6!1s0x39190f26f03dc20f:0x7a1283c9c6a9a8c6!8m2!3d31.4833757!4d74.4089302!16s%2Fg%2F11g0hywhjl!19sChIJD8I98CYPGTkRxqipxsmDEno?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Lahore Dental Care | Dr. Hasnain Nizami,,,,,,4.9,https://www.google.com/maps/place/Lahore+Dental+Care+%7C+Dr.+Hasnain+Nizami/data=!4m7!3m6!1s0x3919036964cdabcb:0x8f86735bb162dccf!8m2!3d31.5387302!4d74.3058654!16s%2Fg%2F11rscvbbwl!19sChIJy6vNZGkDGTkRz9xisVtzho8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
iDentist,,,,,,4.9,https://www.google.com/maps/place/iDentist/data=!4m7!3m6!1s0x3919058b65c2f889:0x73d0d796901a9bb9!8m2!3d31.4886917!4d74.3269528!16s%2Fg%2F11g072fh8c!19sChIJifjCZYsFGTkRuZsakJbX0HM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dental Avenue Hospital,,,,,,4.8,https://www.google.com/maps/place/Dental+Avenue+Hospital/data=!4m7!3m6!1s0x39190581fec9fc51:0x34633cd5821d0850!8m2!3d31.5444083!4d74.4025076!16s%2Fg%2F11q3phvj1b!19sChIJUfzJ_oEFGTkRUAgdgtU8YzQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
OraDent Clinic,,,,,,4.8,https://www.google.com/maps/place/OraDent+Clinic/data=!4m7!3m6!1s0x391904f0a81ca367:0x47a916f71a5a9761!8m2!3d31.5272865!4d74.3478621!16s%2Fg%2F11xdpvfm7!19sChIJZ6McqPAEGTkRYZdaGvcWqUc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
